# char|        |         | char| mJy*km/s|    |char|char|char|char|     Miotello |     Miotello |      Miotello|    | ouble| Meath|  det|ong| mJy  |    M_sun| (M_Earth)|  (L_sun)|
# |        |         |	   |         |    |    |    |    | Meg|              |              |              |    |      |(Megan|     |   |      |   (Anna)|  (Megan))| (Carlo))|
# N/A|        |         |     |  N/A    | N/A|    | N/A| N/A|    |              |              |              |    | 1e+20|      |     |   |      |         |          |         |
source ID_ALMA CODE lF13 F13 e13 lF18 F18 e18 mgas M_gas[M_sun] Min_gas[M_sun] Max_gas[M_sun] d mstar Md CN i F_dust M_dust M_d L_star logMgas l_Mgas Dp_Mg Dn_Mg
J160934.2-391513 G37 III_94 < 168.0 56.0 < 204.0 68.0 <1.0 0.00055625 0.0 0.0 200 -99.0 <0.43 0 -99 -0.56 -99.99999 <0.43 -99.0 -4.539109368095248 < 0.14315456428412787 0.14315456428412787
J16093928-3904316 G38 III_99 < 165.0 55.0 < 198.0 66.0 <1.0 0.00054 0.0 0.0 200 -99.0 <0.41 0 -99 0.12 1e-07 <0.41 -99.0 -4.54732333205948 < 0.14315456428412698 0.14315456428412698
Sz117 M17 III_102 < 111.0 37.0 < 129.0 43.0 <1.0 0.0003535 0.0 0.0 200 0.29 4.37 0 -99 10.47 5.8e-06 4.37 0.447 -4.728034255250476 < 0.14315456428412787 0.14315456428412787
Sz118 G18 III_103 . 695.0 133.0 < 234.0 78.0 0.5 0.0001175 7e-05 0.00028 200 1.09 26.50 1 68 63.34 4.432e-05 26.50 1.072 -3.957201909881022 . 0.19368518004324867 0.15091637513944034
J16095628-3859518 M58 III_106 < 111.0 37.0 < 123.0 41.0 <1.0 0.00033725 0.0 0.0 200 0.1 3.11 0 -99 7.44 4e-06 3.11 -99.0 -4.728034255250476 < 0.14315456428412787 0.14315456428412787
J16100133-3906449 G4 III_109 < 150.0 50.0 < 183.0 61.0 <1.0 0.0004995 0.0 0.0 200 0.14 <0.38 0 -99 0.33 1e-07 <0.38 0.209 -4.5907716847666915 < 0.14315456428412787 0.14315456428412787
J16101307-3846165 M28 III_111 < 108.0 36.0 < 126.0 42.0 <1.0 0.0003455 0.0 0.0 200 -99.0 <0.30 0 -99 0.01 1e-07 <0.30 -99.0 -4.740524424682376 < 0.14315456428412787 0.14315456428412787
J16101857-3836125 M11 III_113 < 99.0 33.0 < 117.0 39.0 <1.0 0.00032125 0.0 0.0 200 0.15 <0.28 0 -99 -0.46 -99.99999 <0.28 0.06 -4.780189663009982 < 0.14315456428412787 0.14315456428412787
J16101984-3836065 M57 III_114 < 102.0 34.0 < 123.0 41.0 <1.0 0.00033725 0.0 0.0 200 0.1 <0.29 0 -99 0.55 2.6e-07 <0.29 0.071 -4.766580811626577 < 0.14315456428412787 0.14315456428412787
J16102741-3902299 G39 III_115 < 168.0 56.0 < 198.0 66.0 <1.0 0.00054 0.0 0.0 200 -99.0 <0.41 0 -99 0.59 4e-07 <0.41 -99.0 -4.539109368095248 < 0.14315456428412787 0.14315456428412787
J16102955-3922144 M55 III_116 . 963.0 80.0 < 93.0 31.0 0.4 0.00016 0.0001 0.00056 200 0.22 2.98 1 82 7.14 3.35e-06 2.98 0.158 -3.6010799898475137 . 0.1969953733870096 0.22765445451752814
J16104536-3854547 G23 III_120 < 180.0 60.0 < 210.0 70.0 <1.0 0.0005725 0.0 0.0 200 -99.0 <0.45 0 -99 -0.56 -99.99999 <0.45 -99.0 -4.507658093731874 < 0.14315456428412787 0.14315456428412787
Sz123B M21 III_1010 < 111.0 37.0 < 129.0 43.0 <1.0 0.0003535 0.0 0.0 200 0.34 <0.30 0 -99 -0.28 -99.99999 <0.30 0.051 -4.728034255250476 < 0.14315456428412787 0.14315456428412787
Sz123A M25 III_121 . 1112.0 111.0 < 108.0 36.0 0.5 0.000148 0.0001 0.0006 200 0.46 17.00 1 53 40.64 2.8e-05 17.00 0.203 -3.6304121730818038 . 0.21723563307095842 0.14298094023751007
J16115979-3823383 M46 III_130 < 102.0 34.0 < 117.0 39.0 <1.0 0.00032125 0.0 0.0 200 0.15 <0.26 0 -99 0.09 1e-07 <0.26 0.059 -4.766580811626577 < 0.14315456428412787 0.14315456428412787
J16120445-3809589 G40 III_132 < 165.0 55.0 < 210.0 70.0 <1.0 0.0005725 0.0 0.0 200 -99.0 <0.44 0 -99 -0.04 -99.99999 <0.44 -99.0 -4.54732333205948 < 0.14315456428412698 0.14315456428412698
J16121120-3832197 G19 III_133 < 168.0 56.0 < 207.0 69.0 <1.0 0.0005645 0.0 0.0 200 -99.0 <0.44 0 -99 0.08 1e-07 <0.44 -99.0 -4.539109368095248 < 0.14315456428412787 0.14315456428412787
J16124373-3815031 G7 III_137 < 192.0 64.0 < 243.0 81.0 <1.0 0.00066175 0.0 0.0 200 0.47 12.50 1 46 29.88 1.72e-05 12.50 0.617 -4.478237391396154 < 0.14315456428412787 0.14315456428412787
J16134410-3736462 G24 III_141 . 468.0 121.0 < 204.0 68.0 0.4 6.2e-05 3.6e-05 9e-05 200 0.16 0.89 0 -99 2.14 1e-06 0.89 0.069 -4.166147977507251 . 0.1481343726834446 0.14491479778825045
